video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Bewertung_Titel;Gestaltung_Thumbnail;theme_Bilder;theme_Krieg;theme_Politik;theme_Sonstiges;theme_Wirtschaft
9GuhElkqWrI;Steht der Bundeshaushalt für 2025 auf wackeligen Füßen? Fratzscher ordnet Entwurf ein | ntv;10.09.2024 15:58;283;3950;42,15;0,0;0;26;26;10;29,0;;;;4,7;;8,4;4,0;10,4;6,6;17,0;20,7;28,3;;;94,0;20;0;0;26;0;39810,0;8,5;3;False;False;True;False;False
Yr-tzqXpenM;Noah Labs will Herzprobleme anhand der Stimme erkennen | ntv;30.10.2024 15:12;255;594;29,59;0,0;1;7;2;7;6,0;;;;;;;;;;;;;;;34,0;1;0;0;2;0;19331,0;6,5;2;False;False;False;True;False
2h37wNugPhA;"""""""Zeitfenster, Krieg zu gewinnen, werden immer knapper"""" - Militäranalyst Remmel zur Ukraine | ntv""";26.02.2024 21:24;890;129423;0,0;18,0;3;279;169;66;0,0;0,1;0,9;0,4;4,3;1,0;9,2;1,6;13,0;3,7;21,3;9,1;35,4;;;1718,0;81;0;0;169;0;523819,0;7,5;2;False;True;False;False;False
dNO6GioBqAs;"""Experte lobt JAL-Kabinencrew: """"Bei so Unfällen liegt's am Piloten oder Fluglotsen"""" | ntv""";02.01.2024 16:56;198;36319;47,78;24,0;0;169;17;29;26,0;0,7;4,6;2,1;10,8;2,7;13,7;3,0;14,1;5,1;19,3;5,7;18,0;;;7800,0;40;0;0;17;0;480917,0;6,5;1;False;False;False;True;False
4kX2NH6NgSQ;Übermächtige Flotte blamiert: Wie Russland den Seekrieg verliert | ntv;24.06.2024 12:58;275;467914;54,96;164,0;7;2266;258;149;300,0;0,1;1,6;0,3;5,9;0,5;13,1;0,6;16,5;1,2;26,4;1,9;31,7;;0,0;21574,0;0;0;0;258;0;1764629,0;6,5;1;False;True;False;False;False
m4vXMvXnRqs;"""AfD-Pläne """"Unfug"""" - So gefährlich wäre ein """"Dexit"""" laut IW-Chef Hüther | ntv""";29.01.2024 18:24;307;2600;37,92;0,0;1;54;41;18;0,0;;;;6,8;2,2;15,5;2,1;15,5;5,4;20,2;7,9;24,5;;;145,0;2;0;0;42;0;31910,0;6,5;2;False;False;True;False;False
DrAFPrL8TTA;"""""""Hier wird nicht mit Rentenbeiträgen spekuliert"""" - SPD-General Kühnert im Frühstart | ntv""";05.03.2024 11:13;446;12850;31,83;2,0;0;31;84;16;0,0;0,4;2,0;0,8;7,8;1,2;10,5;1,9;9,4;7,1;20,7;13,4;24,9;;;777,0;8;0;0;84;0;125753,0;6,5;2;False;False;True;False;False
PGMcqMDeS2c;"""""""Groschengrab"""" wird 70: Als das Parken noch zehn Pfennig kostete | ntv""";04.01.2024 10:29;61;327;0,0;0,0;1;15;3;9;5,0;;;;17,6;;21,0;;15,3;8,0;15,9;8,5;13,6;;;62,0;0;0;0;3;0;16539,0;6,5;2;False;False;False;True;False
wK8iBldpPSY;"""Brücken-Katastrophe """"trifft wieder die Ärmsten"""" - Kleim zum Verkehrschaos in Baltimore | ntv""";27.03.2024 11:35;200;119501;41,64;47,0;3;363;92;72;97,0;0,8;5,4;2,2;14,4;2,9;14,4;3,8;12,6;5,8;15,1;7,4;15,0;;1,0;19004,0;233;0;0;92;0;3561499,0;6,5;2;False;False;False;True;False
AEawIO2CbFw;"""Christian Gerloff, Insolvenzverwalter - """"Esprit hat den Punkt erreicht, sich wieder neu zu erfinden""""""";16.05.2024 13:27;463;5948;45,13;0,0;0;18;3;59;9,0;;;;8,2;10,6;19,1;7,6;10,6;6,8;13,5;7,6;15,9;;;711,0;0;0;0;3;0;23235,0;7,5;2;False;False;False;False;True
YZeZwSpRQmM;"""Munz: """"Russen können nicht zum Gegenangriff übergehen"""" | ntv""";09.08.2024 12:23;142;247024;69,75;146,0;7;1790;253;117;408,0;0,2;1,8;0,5;5,6;0,9;10,2;1,5;13,4;3,3;23,6;7,0;31,9;;;14263,0;2213;169;0;253;0;2540481,0;6,5;2;False;True;False;False;False
ehAG2edVcGw;"""Polizei ging """"mit gezogener Waffe"""" durch Moschee - Vollmer bei Razzia in Hamburg | ntv""";24.07.2024 12:27;192;24609;59,53;16,0;0;280;16;70;186,0;0,4;3,1;1,1;8,6;2,5;11,6;3,8;11,8;8,0;15,5;14,2;19,3;;;1344,0;97;0;0;16;0;165874,0;6,5;2;False;False;False;True;False
r4ceidDc62o;"""""""Lindner hat im Grunde Rausschmiss beim Kanzler bestellt"""" - Hillje: zwei Deutungsstreitereien  | ntv""";07.11.2024 15:19;287;4855;47,11;1,0;0;27;15;4;18,0;;;;8,8;3,5;11,4;4,7;12,4;7,1;16,1;14,3;21,9;;;92,0;26;1;17;15;0;50349,0;6,5;3;False;False;True;False;False
frox4jrqDIA;Polizei stürmt Blaue Moschee - Faeser verbietet Islamische Zentrum Hamburg | ntv;24.07.2024 10:18;101;17963;61,86;15,0;1;427;36;183;436,0;1,0;6,1;2,3;13,7;3,0;12,6;3,7;10,7;7,6;13,6;10,6;15,1;;;2439,0;147;0;0;36;0;210683,0;6,5;1;False;False;False;True;False
Gmdj4Ckv7CQ;"""Grausames Sterben an der Grenze - """"Sollte kein Todesurteil sein, in die USA zu kommen"""" | ntv""";20.10.2024 13:36;449;24619;37,78;8,0;0;128;35;18;55,0;;4,2;1,2;13,4;1,7;17,5;2,2;14,6;3,6;16,9;7,0;17,8;;;335,0;63;2;0;35;0;120315,0;6,5;2;False;False;True;False;False
k3CFsHHoWQw;"""Vorbereitung für Invasion? - Jäger zu Pager-Explosionen: """"Das hat neue Qualität"""" | ntv""";18.09.2024 16:40;296;172496;51,82;52,0;2;810;88;84;258,0;0,5;2,8;1,2;8,0;1,8;12,0;2,3;14,2;4,0;22,1;6,5;24,4;;;7417,0;380;0;0;88;0;1919895,0;6,5;3;False;True;False;False;False
QdS9xWQ_IDQ;Klingbeil: Bundesregierung ist auf Trump vorbereitet - SPD-Chef zur US-Wahl | ntv;06.11.2024 02:34;306;13440;38,08;4,0;1;76;112;20;212,0;;1,9;0,8;6,6;2,1;11,0;3,2;10,6;9,6;16,8;17,4;19,9;;;746,0;56;1;0;112;0;253676,0;8,5;3;False;False;True;False;False
OAwIYlSk-IU;"""Nouripour: """"Begriff Remigration hat sehr viele Leute erschüttert"""" | ntv #frühstart""";22.01.2024 14:41;479;2703;30,23;2,0;1;13;64;12;0,0;;;;8,0;;13,7;;15,4;8,0;16,4;12,0;26,4;;;143,0;3;0;0;102;0;62488,0;6,5;2;False;False;True;False;False
E1vw88UZ4X0;Pro-Kopf-Verschuldung steigt auf Höchstwert - Im Europa-Vergleich noch wenig   | ntv;30.07.2024 07:50;105;1037;60,36;0,0;0;18;4;5;22,0;;;;9,8;;20,6;;11,8;;29,6;;28,2;;;37,0;14;0;0;4;0;21210,0;6,5;1;False;False;False;False;True
adC7Qlt1a1w;Wie Russland auf Wahlerfolge von AfD und BSW reagiert - Munz: Nicht nur Z-Blogger jubeln | ntv;02.09.2024 14:25;177;160779;0,0;39,0;2;751;97;136;287,0;0,1;1,7;0,4;4,6;1,2;9,5;1,9;12,2;5,0;21,7;10,3;31,1;;;8961,0;202;37;0;97;0;648014,0;6,5;3;False;False;True;False;False
WK8keAoT2zA;"""""""Müssen bei AKP-Ableger ganz genau hinschauen"""" - FDP-Politiker Dürr im Frühstart | ntv""";30.01.2024 10:55;407;11563;21,26;3,0;2;33;106;13;0,0;0,3;3,9;1,1;10,1;2,0;12,6;2,4;13,3;6,3;16,7;10,4;20,9;;;1745,0;44;0;0;108;0;591117,0;6,5;2;False;False;True;False;False
DmmlALEtrbc;"""""""Peinlich, dass Russland moderne Jets nicht schützen kann"""" - Gressel zu Kiews Drohnenangriff  | ntv""";11.06.2024 22:56;245;233828;52,41;94,0;7;1449;302;93;369,0;0,1;0,9;0,3;3,7;0,7;9,9;1,1;15,3;2,3;26,6;4,5;34,6;;;5929,0;615;0;0;302;0;1442937,0;6,5;2;False;True;False;False;False
8ItsZFoEOTE;Europa wählt rechts - FPÖ, RN und FdI vorne | ntv;10.06.2024 08:28;108;24180;71,08;16,0;1;485;46;188;239,0;0,4;4,8;1,3;9,8;2,5;10,9;3,6;10,3;7,5;14,5;12,9;21,5;;;1732,0;431;0;0;46;0;401661,0;6,5;1;False;False;True;False;False
AMCwOF1IBE0;"""Söldnertruppe jetzt """"Afrikakorps"""" - Neue Wagner-Gruppe hat auch """"deutsche Komponente"""" | ntv""";06.02.2024 13:27;158;16586;56,74;7,0;4;90;10;25;0,0;0,3;2,4;0,3;7,3;1,5;14,8;1,5;16,8;3,5;21,6;5,6;24,4;;;643,0;135;0;0;10;0;153799,0;6,5;1;False;True;False;False;False
imuko1sIGEo;Anleger nicht zufrieden: Nvidia verdoppelt Gewinn fast und enttäuscht dennoch | ntv;21.11.2024 11:15;112;1564;56,32;1,0;1;12;1;9;6,0;;6,1;;21,5;;26,6;;15,1;;14,4;;16,3;;;172,0;13;0;0;1;0;36985,0;6,5;3;False;False;False;False;True
oNe2Z5__ZCg;"""Rumäniens Problem mit den """"Bettelbären"""" - Touristen füttern leichtfertig  | ntv""";30.09.2024 08:26;214;31840;0,0;5,0;3;165;9;153;73,0;0,3;1,5;1,3;6,1;2,9;8,4;4,2;9,1;8,1;17,3;13,6;27,1;;;2468,0;0;0;0;9;0;122584,0;6,5;2;False;False;False;True;False
idfKfk1i0u4;Nach Anschlag in Moskau: Immer mehr Russen wollen in die Armee | ntv;03.04.2024 17:34;119;39416;60,54;19,0;0;314;42;138;159,0;0,3;3,0;0,8;10,1;1,4;15,7;1,6;15,1;2,9;20,1;5,3;23,6;;;4028,0;0;0;0;42;0;239497,0;6,5;2;False;True;False;False;False
1g3aM6ukcuw;"""Gründerin Hubertz im Bundestag: """"In der SPD gab es definitiv Neid auf meine Karriere"""" | ntv""";23.04.2024 10:41;478;1544;25,95;1,0;0;26;6;6;4,0;;;;;;11,4;;14,0;5,1;21,6;14,8;33,1;;;28,0;2;0;0;6;0;16920,0;6,5;1;False;False;True;False;False
Hczn8cQ5Jg8;So findet sich die perfekte Sonnenbrille für den Sommer | ntv Service;27.09.2024 20:00;339;860;23,27;0,0;1;6;4;2;10,0;;;;14,4;;16,3;;21,4;;20,5;;27,4;;;13,0;5;0;0;4;0;27826,0;8,5;2;False;False;False;True;False
J9swf6oPolQ;"""Jäger zu gehemmten G20: Putin-Alleingang von Scholz """"ist wirklich bemerkenswert"""" | ntv""";18.11.2024 13:56;340;339897;40,61;86,0;5;1473;166;176;378,0;0,2;1,0;0,6;3,9;1,5;9,2;2,5;12,0;5,9;20,6;12,9;29,6;;;6323,0;359;0;0;166;0;1682984,0;6,5;3;False;True;False;False;False
hjziDiCCGHY;"""""""Wer weiß, was die Zeit bringt"""": Höcke zu Kanzler-Ambition | ntv""";13.08.2024 11:22;553;1678818;54,19;553,0;22;12643;759;2964;2849,0;0,4;7,4;0,9;13,5;1,5;13,1;2,6;12,0;5,6;15,5;9,2;18,1;;0,0;43063,0;1707;115;0;759;0;4955792,0;6,5;2;False;False;True;False;False
_O3yVKvT1H8;"""Reisner: Verluste für Kreml irrelevant - """"Ukraine mit schwer lösbarer Situation konfrontiert"""" | ntv""";29.07.2024 19:17;214;274672;57,89;85,0;3;1800;265;189;427,0;0,1;1,2;0,3;6,6;0,6;14,6;1,0;17,8;1,9;24,8;3,6;27,6;;;13207,0;1098;0;0;265;0;1244350,0;6,5;3;False;True;False;False;False
