durchschnittliche_wiedergabedauer;aufrufe;Klickrate der Impressionen (%)
223,0;10355;6,51
86,0;83542;7,4
118,0;12351;5,0
93,0;1110;2,52
403,0;5068;4,86
83,0;891;1,94
61,0;2963;4,84
75,0;48412;4,64
81,0;64763;6,33
208,0;1708;2,15
95,0;1336;3,14
97,0;5588;2,54
56,0;596;1,88
185,0;231256;6,08
549,0;27989;3,78
125,0;24718;2,94
126,0;19298;6,5
159,0;30150;1,24
206,0;8777;1,96
63,0;5159;7,17
247,0;50315;4,42
186,0;25715;5,57
100,0;3291;4,38
47,0;54475;2,24
82,0;4448;5,61
68,0;80064;2,37
75,0;78402;1,64
184,0;32470;3,68
279,0;7263;5,84
54,0;4969;7,8
211,0;11995;4,28
69,0;16538;8,52
71,0;8285;1,93
68,0;2361;5,75
59,0;8986;6,12
52,0;1100;2,13
72,0;479;1,55
203,0;482;2,17
203,0;14797;3,5
47,0;37906;8,67
279,0;1886;2,88
90,0;396;1,32
67,0;46687;3,6
99,0;7755;4,92
86,0;3830;2,38
92,0;41262;5,45
157,0;7243;1,61
56,0;5218;3,28
65,0;6840;5,82
145,0;57027;2,02
92,0;89257;5,07
122,0;1105;2,44
65,0;255132;4,02
59,0;2114;3,46
115,0;13352;4,34
298,0;16150;6,2
41,0;97644;1,27
170,0;12825;1,57
80,0;10456;4,26
158,0;90254;1,57
61,0;11129;8,02
169,0;8708;5,16
229,0;4562;6,76
95,0;1245;3,15
74,0;90014;1,85
113,0;2765;7,51
53,0;1199;2,81
114,0;13934;6,68
189,0;516;2,09
123,0;1956;4,45
58,0;53723;1,72
59,0;1547;3,24
130,0;147621;3,21
359,0;35775;6,88
54,0;15527;2,67
56,0;573;2,91
59,0;112020;7,42
137,0;15703;3,38
56,0;9452;3,1
164,0;240422;6,75
35,0;7406;3,52
182,0;6166;3,74
144,0;9131;3,9
98,0;35098;1,95
295,0;45226;5,18
176,0;3951;3,04
179,0;243936;6,48
317,0;181748;5,01
195,0;1915;2,71
71,0;204171;3,2
181,0;41881;8,41
59,0;68022;1,97
53,0;7091;1,12
368,0;85928;4,3
81,0;176333;4,15
73,0;133593;6,2
115,0;1780;3,23
99,0;47068;1,17
78,0;12954;5,51
61,0;1085;3,85
178,0;245748;6,23
62,0;1587;4,25
150,0;79104;1,53
68,0;38680;4,38
114,0;5405;4,34
122,0;20480;2,33
131,0;30101;1,0
87,0;5466;4,95
165,0;1132;2,13
86,0;65952;3,89
171,0;144866;7,4
91,0;2093;2,58
75,0;1411;2,72
297,0;2934;3,46
66,0;917;2,63
26,0;21881;1,06
581,0;33049;7,44
69,0;20554;3,41
198,0;73005;1,25
87,0;6317;2,64
100,0;9092;3,28
172,0;2551;2,67
120,0;10965;8,1
103,0;73628;3,28
59,0;11605;7,23
45,0;467;1,63
266,0;26813;3,19
153,0;67472;2,31
71,0;5713;5,75
87,0;6857;4,28
84,0;2405;3,74
41,0;147144;3,34
107,0;7937;3,4
78,0;75542;2,59
104,0;21711;2,77
99,0;14968;9,0
173,0;1361;4,02
131,0;22630;2,53
92,0;13669;3,63
135,0;2155;2,69
81,0;5841;4,54
186,0;18399;5,16
68,0;149109;6,27
48,0;3203;1,78
297,0;201429;3,75
68,0;129340;4,41
294,0;15882;4,98
50,0;5180;3,38
194,0;51379;4,15
74,0;3430;4,97
68,0;88765;8,47
81,0;2907;2,34
42,0;2579;7,1
183,0;7163;2,51
45,0;18984;2,83
58,0;15615;4,68
149,0;10622;2,83
441,0;3374;2,86
179,0;1348;4,26
337,0;108942;6,6
74,0;105997;8,24
69,0;296;1,9
124,0;521;1,57
226,0;144859;3,78
48,0;466;2,29
744,0;15932;5,36
209,0;6863;4,91
207,0;544;2,61
64,0;211140;1,89
110,0;9997;1,82
48,0;108590;6,6
709,0;18777;4,5
191,0;77266;3,66
87,0;121455;4,26
109,0;46034;1,95
182,0;2360;2,49
71,0;12899;1,35
91,0;96761;5,43
179,0;1795;1,77
60,0;10914;3,65
64,0;6553;1,0
37,0;1736;4,18
54,0;91758;3,05
295,0;11117;7,2
129,0;4610;5,42
60,0;1968;2,56
178,0;30334;3,26
89,0;9452;2,74
189,0;41021;4,19
251,0;2850;4,41
101,0;293153;7,78
82,0;497400;7,11
164,0;2131;3,69
85,0;1927;1,16
214,0;12382;2,61
102,0;27725;6,61
90,0;111227;11,48
96,0;378;2,26
182,0;5046;3,65
113,0;36446;8,5
85,0;49000;3,5
133,0;209369;1,17
146,0;1313;3,13
48,0;5663;4,61
57,0;700;2,27
213,0;5839;4,84
54,0;72219;1,07
71,0;361;1,56
138,0;3524;3,1
75,0;37555;1,05
95,0;5070;5,66
126,0;369636;4,92
95,0;354565;9,48
151,0;4929;4,02
134,0;137419;5,08
184,0;46880;4,04
240,0;89497;1,87
129,0;9508;4,59
187,0;9532;2,44
115,0;255613;5,2
72,0;57065;8,63
109,0;141958;2,0
51,0;17302;1,76
75,0;1746;2,5
125,0;3335;7,6
55,0;38179;4,97
51,0;20255;3,66
238,0;15485;5,16
60,0;2715;1,91
143,0;6419;3,49
57,0;39071;8,69
85,0;2331;4,75
34,0;112652;4,21
28,0;6652;1,13
258,0;41301;5,38
266,0;150263;3,73
94,0;23035;3,05
78,0;14537;2,36
52,0;763;1,46
276,0;9729;3,36
79,0;551;2,78
196,0;2437;2,78
81,0;119003;8,81
202,0;6129;4,33
163,0;59917;4,41
200,0;47111;6,5
161,0;5672;1,05
181,0;1779;3,81
211,0;6110;3,73
195,0;4016;3,34
58,0;22828;2,59
202,0;548;2,57
85,0;1200;1,41
69,0;24513;8,97
89,0;725;2,15
81,0;17009;4,47
24,0;38159;3,1
47,0;20647;6,08
151,0;3138;5,55
108,0;65302;2,31
51,0;654;2,61
67,0;19427;7,36
81,0;56335;2,31
103,0;1140;3,74
144,0;6775;1,11
107,0;131197;6,4
65,0;33744;1,11
128,0;378;2,07
88,0;3449;5,72
70,0;3089;3,68
209,0;98009;1,89
94,0;178;7,9
132,0;41454;4,64
104,0;101965;2,71
141,0;230124;5,7
55,0;1756;3,59
100,0;126508;5,28
146,0;859;2,4
109,0;13877;1,1
110,0;1160;2,39
258,0;23108;6,81
88,0;1717;2,78
190,0;2925;2,32
138,0;147720;4,73
46,0;13877;6,2
167,0;3843;2,91
88,0;6206;1,01
204,0;50929;3,06
92,0;613;2,04
77,0;2836;3,9
154,0;15220;1,27
271,0;5160;5,49
130,0;58000;3,51
62,0;141871;6,21
161,0;2277;4,32
96,0;12921;1,73
91,0;4803;4,15
162,0;2312;3,22
81,0;11209;4,97
80,0;3656;5,71
119,0;2379;3,19
696,0;7001;3,78
134,0;24022;7,55
102,0;27577;4,96
59,0;36780;2,02
249,0;10368;7,35
120,0;5572;2,64
76,0;104973;7,12
37,0;28696;7,03
85,0;17570;1,85
64,0;3436;5,49
60,0;24538;1,18
78,0;387;1,31
121,0;665;1,79
74,0;20282;7,6
126,0;2341;3,92
87,0;5511;3,59
51,0;1590;3,38
96,0;1707;2,26
132,0;1951;1,16
215,0;4065;2,76
330,0;1243;2,63
55,0;13690;1,04
86,0;21794;1,23
147,0;23447;2,36
141,0;83620;1,9
160,0;1483;2,74
108,0;84170;3,51
78,0;801;2,77
95,0;38791;8,18
72,0;4037;3,24
89,0;2146;3,48
129,0;3839;3,31
94,0;1712;5,57
282,0;6315;3,79
42,0;41505;8,42
154,0;6689;4,26
168,0;57258;5,22
238,0;42361;9,49
99,0;2621;5,68
58,0;52713;2,42
