,Videos,Videotitel,Veröffentlichungszeitpunkt des Videos,Klicks auf Abspannelement,Klicks auf Infokartenteaser,Klicks auf Infokarte,Geteilte Inhalte,Kommentare hinzugefügt,„Mag ich“ und „Mag ich nicht“ im Vergleich (%),„Mag ich nicht“-Bewertungen,Likes,Verlorene Abonnenten,Gewonnene Abonnenten,Durchschnittliche Wiedergabedauer in Prozent (%),Im Feed angezeigt,Aufrufe,Wiedergabezeit (Stunden),Geschätzter Umsatz (EUR),Durchschnittliche Wiedergabedauer,Impressionen,Klickrate der Impressionen (%)
1,foD-aCM2-jc,Bizarre Szene im Bundestag: Merz attackiert - Scholz verlässt spontan Regierungsbank  | ntv,2024-10-10,4829.0,84.0,245.0,1195.0,1941.0,78.59,1212.0,4449.0,16.0,361.0,65.1,0.0,513488.0,11234.8386,848.827,0:01:18,5040281.0,5.99
2,wkSJlrQ_B2s,"Ex-Präsident erklärt Land für tot - Trump: ""Die Ukraine ist weg"" -| ntv",2024-09-26,4807.0,65.0,0.0,4268.0,2987.0,86.47,1323.0,8456.0,19.0,429.0,62.55,0.0,484189.0,13208.758,699.806,0:01:38,6910396.0,5.36
3,hLPegYPyHrM,Zeugen filmen explodierende Walkie-Talkies im Libanon - Galant kündigt neue Phase an | ntv,2024-09-19,4150.0,0.0,0.0,820.0,1386.0,91.32,264.0,2777.0,12.0,241.0,55.09,0.0,456109.0,10469.2405,816.678,0:01:22,9603965.0,3.83
4,ITaYvsOmqo8,"Munz: ""30.000 Tonnen Munition sollen explodiert sein"" - Gewaltiger Feuer-Pilz in Russland  | ntv",2024-09-19,3322.0,70.0,0.0,857.0,971.0,88.18,565.0,4214.0,11.0,301.0,62.6,0.0,337008.0,10781.9749,614.469,0:01:55,4263523.0,5.92
5,RsQD4PreXOg,"Panne ist ""Blamage für Russland"" - Reisner zu Bildern vom Raketentestgelände  | ntv",2024-09-23,3251.0,38.0,0.0,311.0,683.0,87.08,559.0,3766.0,6.0,186.0,54.11,0.0,319884.0,10530.014,413.395,0:01:58,3146719.0,5.99
6,D7rLID7lkxE,"Weidel nach Ampel-Aus: AfD hat sich ""auf Szenario der Neuwahlen vorbereitet"" | ntv",2024-11-08,2598.0,0.0,0.0,1262.0,1944.0,95.93,415.0,9788.0,28.0,422.0,55.48,0.0,252057.0,11071.5222,694.57,0:02:38,3958379.0,3.3
7,lBfYXrd-tiQ,Frau sediert und vergewaltigt: 51 Männer vor Gericht - Ehemann ist Hauptangeklagter | ntv,2024-09-03,2111.0,0.0,0.0,1825.0,1210.0,94.3,276.0,4568.0,33.0,335.0,56.33,0.0,402086.0,8241.4835,528.149,0:01:13,6213836.0,4.37
8,HLRJZHB6WHU,"Reisner: Große Verbände greifen an - ""Russland-Offensive hatte mehr Erfolg als angenommen"" | ntv",2024-11-04,2019.0,63.0,0.0,990.0,1219.0,90.18,520.0,4773.0,19.0,369.0,35.0,0.0,480444.0,31531.7086,1001.351,0:03:56,4806646.0,4.88
9, -yKjZcOGYAo,"Reisner: Kriegstaktik geht nicht auf - ""Ukraine wird von den Ereignissen überholt""  | ntv",2024-09-11,2009.0,80.0,0.0,1006.0,1528.0,86.72,874.0,5708.0,19.0,373.0,51.05,0.0,388005.0,27343.4777,815.348,0:04:13,4548102.0,5.66
10,sFqvMNkiiRM,"""Wer bleibt, wird sterben"" - Blick aus dem All zeigt riesigen Hurrikan ""Milton"" | ntv",2024-10-09,1886.0,0.0,0.0,1311.0,214.0,95.86,40.0,927.0,6.0,108.0,65.97,0.0,149355.0,2846.3556,220.371,0:01:08,1676434.0,6.26
11,jXuv2rVqLZM,"Soldaten: ""Haben genug vom Krieg"" - Reporterin fährt auf Leopard-Panzer durch Ukraine-Fluss | ntv",2024-09-13,1811.0,20.0,0.0,192.0,530.0,74.24,601.0,1732.0,7.0,133.0,57.9,0.0,196777.0,5538.7788,245.11,0:01:41,2974295.0,4.77
12,OVug1cZy300,"Munz: ""Schon wirklich bemerkenswert"" - Ganzes russisches Dorf stellt sich gegen Putins Krieg | ntv",2024-11-15,1715.0,51.0,0.0,698.0,757.0,93.13,381.0,5163.0,26.0,575.0,59.45,0.0,486815.0,15918.0753,1476.573,0:01:57,3471445.0,8.33
13,xxykF1Rp0r0,"Merz verspottet Scholz: ""Trump wird Sie wie ein Leichtgewicht abtropfen lassen"" | ntv",2024-11-13,1714.0,0.0,0.0,186.0,594.0,65.63,255.0,487.0,4.0,49.0,61.39,0.0,47069.0,1300.2985,91.489,0:01:39,3037065.0,1.17
14,q4eh-zrLLc4,"Deutscher Botschafter in Moskau hat ""Spieß umgedreht"" - Munz zu diplomatischem Ringen  | ntv",2024-10-23,1607.0,47.0,0.0,375.0,786.0,69.86,1117.0,2589.0,8.0,227.0,61.62,0.0,195583.0,6628.4046,586.506,0:02:02,2668376.0,3.73
15,cMP2nyx3XQ8,"Scholz bei Treffen in New York: Russland schießt quer, UN verabschiedet ""Zukunftspakt"" | ntv",2024-09-23,1604.0,0.0,0.0,174.0,406.0,56.37,425.0,549.0,7.0,63.0,42.8,0.0,147512.0,1718.7481,105.098,0:00:41,1359471.0,3.34
16,RUPMFRabj5A,"Gressel über Drohungen aus Moskau: ""Putin stünde vor einem Krieg, den er nicht gewinnen kann"" | ntv",2024-11-20,1537.0,38.0,0.0,581.0,2151.0,78.47,851.0,3102.0,9.0,209.0,50.43,2.0,337688.0,11494.1643,740.534,0:02:02,2313741.0,8.09
17,kh7ESJWqyNo,"Trümmerteile in Elbe ""könnten wie ein Pfropfen wirken"" - Hochwassergefahr in Dresden  | ntv",2024-09-12,1508.0,14.0,29.0,170.0,360.0,81.85,110.0,496.0,1.0,56.0,46.13,0.0,90100.0,1870.4207,119.699,0:01:14,3048396.0,1.85
18,ssG9VB695dI,"Munz: ""Aus der Trump-Mannschaft gibt es klare Signale"" - Russland intensiviert Angriffe  | ntv",2024-11-28,1423.0,32.0,0.0,169.0,180.0,91.08,141.0,1439.0,12.0,236.0,53.71,0.0,205733.0,6077.0271,839.556,0:01:46,1326761.0,6.74
19,3Wp1QawdQ5I,US-Außenpolitiker angespannt: Trump telefoniert mit Putin und Scholz zum Ukraine-Krieg | ntv,2024-11-11,1374.0,0.0,0.0,110.0,197.0,91.49,51.0,548.0,5.0,51.0,54.89,0.0,88765.0,1678.214,112.736,0:01:08,733533.0,8.47
20,pieHxCQOGtw,"Spanier wüten gegen ""Mörder"" - König Felipe wird in Flutgebiet mit Schlamm beworfen | ntv",2024-11-03,1317.0,15.0,97.0,1107.0,623.0,95.59,95.0,2061.0,12.0,127.0,61.59,0.0,191772.0,3838.8972,206.564,0:01:12,2468582.0,5.73
21,HQZmU5wi1qE,"Ultranationalist sieht ""strategische Niederlage"" Russlands - Munz wähnt Bewegung in Moskau  | ntv",2024-10-17,1295.0,38.0,0.0,272.0,779.0,85.34,483.0,2811.0,7.0,168.0,55.53,3.0,248731.0,11280.2499,633.412,0:02:43,2617765.0,6.74
22,azDjVJvRaS4,"""Hätte damit Amtseid verletzt"": Ampel-Aus: Lindner erklärt Grund für seine Entlassung | ntv",2024-11-07,1293.0,10.0,27.0,611.0,471.0,88.61,109.0,848.0,4.0,44.0,62.25,0.0,46242.0,1823.127,98.964,0:02:21,1184785.0,2.79
23,d3t0qCae_WE,"Medien verstärken Propaganda - Munz: ""Beim Einkaufen in Moskau spürt man Verärgerung"" | ntv",2024-11-13,1286.0,0.0,0.0,256.0,692.0,88.54,375.0,2897.0,8.0,206.0,61.06,0.0,365963.0,8752.4756,746.01,0:01:26,2670351.0,8.43
24,6O_oAUjGzAM,"Moskau sorgt für Eklat bei UN - Munz: ""Russland hat sich heftige Klatsche eingeholt"" | ntv",2024-09-23,1243.0,0.0,0.0,252.0,435.0,85.06,455.0,2591.0,9.0,232.0,53.08,0.0,386585.0,8322.142,579.159,0:01:17,1858896.0,7.55
25,mzv_QZHt7zU,Streng überwachte Touristenreise: Seltene Einblicke - Russin filmt in Nordkorea | ntv,2024-11-11,1120.0,0.0,0.0,1145.0,694.0,90.15,561.0,5137.0,26.0,392.0,52.68,0.0,578145.0,25296.5273,1420.084,0:02:37,7109037.0,5.79
26,16n5uwnl85M,"""Flugzeugträger wird wohl nie mehr auslaufen"" - Munz zu russischer Pannenschiff-Crew | ntv",2024-09-24,1109.0,37.0,0.0,245.0,390.0,91.95,238.0,2717.0,7.0,190.0,48.96,0.0,370602.0,9877.7994,484.886,0:01:35,2249635.0,8.92
27,jKq8eaf6y1g,"Was passiert, wenn Lindner die Ampel platzen lässt? - Zwei mögliche Szenarien | ntv",2024-11-03,1107.0,0.0,0.0,193.0,628.0,92.45,83.0,1016.0,3.0,74.0,53.17,0.0,116856.0,2019.378,150.667,0:01:02,1666964.0,3.55
28,Bg0l_K3E4_U,"""Politische Landschaft hat sich über Nacht verändert"" - Blome zu Wahlen im Osten  | ntv",2024-09-02,1105.0,0.0,0.0,88.0,512.0,76.56,225.0,735.0,2.0,57.0,62.86,0.0,60414.0,1856.5479,83.856,0:01:50,2056062.0,2.22
29,9GdWd3y86ZE,"Küstenstädte geflutet: ""Milton"" peitscht Wassermassen über Florida | ntv",2024-10-10,1097.0,0.0,0.0,136.0,60.0,95.36,15.0,308.0,0.0,49.0,64.31,0.0,56762.0,1013.9864,99.838,0:01:04,1322680.0,3.39
30,uPkf3oLosV8,"Bei Nordkorea-Soldaten ginge es ""nicht um Qualität"" -  Munz zu Spekulation über Putin und Kim | ntv",2024-10-22,1085.0,17.0,0.0,102.0,657.0,73.89,399.0,1129.0,4.0,87.0,56.87,1.0,141885.0,3631.001,256.411,0:01:32,3268069.0,3.01
31,RTHEsbHqgQc,Munz: Zwischen China und Russland knirscht es - Was bleibt von Putins Gipfel? | ntv,2024-10-24,1084.0,24.0,0.0,122.0,465.0,81.43,341.0,1495.0,6.0,92.0,62.8,0.0,148048.0,3822.2672,282.878,0:01:32,1395491.0,7.22
32,NzhynOwyxbI,"""Schwere, dramatische Stunden"": Wassermassen in Niederösterreich - Lage verschärft sich| ntv",2024-09-16,1073.0,0.0,0.0,782.0,165.0,96.17,31.0,778.0,6.0,127.0,55.47,0.0,121832.0,2309.0025,154.846,0:01:08,988441.0,9.02
33,nATngRiW3bY,Russland-Aussagen in Memoiren - Jäger: Merkels Argumente sind nicht überzeugend | ntv,2024-11-21,1045.0,16.0,0.0,364.0,534.0,83.03,330.0,1615.0,4.0,77.0,59.48,0.0,101966.0,2965.2954,296.244,0:01:44,2293266.0,2.71
34,Eqx_MXiGbqM,Auch ATACMS im Einsatz: Video soll Storm-Shadow-Angriff in Kursk zeigen | ntv,2024-11-21,1010.0,4.0,0.0,64.0,196.0,73.01,139.0,376.0,1.0,17.0,60.29,0.0,46269.0,798.1048,84.183,0:01:02,434948.0,7.5
