video_id;Videotitel;Veröffentlichungszeitpunkt des Videos;Dauer;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;„Mag ich“ und „Mag ich nicht“ im Vergleich (%);„Mag ich nicht“-Bewertungen;Im Feed angezeigt;Geschätzter Umsatz (EUR);Impressionen;Klickrate der Impressionen (%)
d9hkkoS0vX4;"""Nähern uns Kulminationspunkt"" - Reisner: Aktuelle russische Angriffe haben drei Absichten | ntv";01.01.2024;340;52890;873;0;0;8499;682;0;;4801361;381
dNO6GioBqAs;"Experte lobt JAL-Kabinencrew: ""Bei so Unfällen liegt's am Piloten oder Fluglotsen"" | ntv";02.01.2024;198;7800;40;0;0;9086;17;0;;480917;305
skKWLHdx5gA;"""Böllerverbot ist der falsche Weg"" - Berlins Regierender Wegner im ""ntv Frühstart"" | ntv";02.01.2024;442;784;9;0;0;5625;35;0;;259232;76
HqWCoADUK7k;Angriff im Wahlkampf in Südkorea: Attentäter sticht Politiker vor laufender Kamera in Hals | ntv;02.01.2024;80;1284;35;0;0;9074;5;0;;111026;343
nb_vFEhhPFU;Südkorea: Attentäter sticht Politiker in den Hals | #ntv #shorts;02.01.2024;60;1722;0;0;0;8194;13;57683;;12246;176
RYohTnnTqVY;"""Oh Gott!"" - Tetris durchgespielt? - 13-Jähriger bringt Kultgame zum Absturz - bei Level 157 | ntv";03.01.2024;77;71866;1582;0;0;9546;24;0;;304378;2195
jEQlxW-KC6c;Russland überzieht die Ukraine mit Angriffen | #ntv #shorts;03.01.2024;59;252;0;0;0;726;57;11933;;27561;511
zdSblctF2h0;Massive Luftangriffe auf Ukraine, mehrere Tote | ntv #shorts;03.01.2024;45;316;0;0;0;8307;32;17000;;27472;246
Vln-bElYMm4;"Schuldenbremse einzuhalten ""ist sehr schwer"" - Ex-Regierender Müller im ""ntv Frühstart"" | ntv";03.01.2024;386;27;3;0;0;60;10;0;;19874;157
YG25cKMkLJw;Mit Böllern beladenes Auto explodiert. Schuld war wohl eine Zigarette. | ntv #shorts;03.01.2024;49;298;0;0;0;9661;2;4334;;13822;346
lH_5_n5T8P8;ntv-Reporter Fritz: Ukraine leidet unter massivem Beschuss der russischen Truppen | #ntv #shorts;03.01.2024;43;272;0;0;0;7955;18;12078;;12046;17
b9YgYsbw5jw;Michael Müller im Frühstart: Die Tötung des Hamas-Vize bedeutet eine neue Eskalationsstufe| #ntv;03.01.2024;58;735;0;0;0;75;13;7023;;10544;174
 -QRoweyHAzw;"Ohne Leopard-Panzer ""wären Soldaten nicht mehr am Leben"" - Faber im ntv Frühstart | ntv";04.01.2024;413;4167;16;0;0;2453;443;0;;1116585;111
b352sN63G5k;Hechtsprung aus heiterem Himmel - Angeklagter greift Richterin an | ntv;04.01.2024;146;19307;1674;0;0;9404;46;0;;1009958;446
zWpiLscuKmo;Die Flutgebiete Deutschlands im Überblick - Scholz besucht in Sachsen-Anhalt | ntv;04.01.2024;114;7373;109;0;0;6091;86;0;;615988;259
3yBQDoVB0jg;Wo Russland und die Ukraine zusammenarbeiten - ntv-Reporter Fritz umreißt seltene Abkommen | ntv;04.01.2024;156;1948;64;0;0;8929;12;0;;176120;534
qmCAZUiwwdA;Angriff auf Arzt und Pfleger: Video hält Angriff in Berliner Krankenhaus fest | ntv;04.01.2024;76;10448;256;0;0;8389;24;0;;104356;1228
w42awziSmAg;"""Stinger immer auf der Schulter"" - Kriegsversehrte schießen den Himmel über Kiew frei | ntv";04.01.2024;98;363;103;0;0;8451;22;0;;100666;612
jFdZGlA96AY;"""Erstes Halbjahr wird an der Börse etwas ruppiger"": Experte Richter über Zinsen und Welthandel | ntv";04.01.2024;198;134;3;0;0;100;0;0;;24225;165
0g_ab-ACnHc;Temperaturen von deutlich unter -40 Grad lassen Schweden bibbern | #ntv #shorts;04.01.2024;56;462;0;0;0;100;0;7067;;17420;362
PGMcqMDeS2c;"""Groschengrab"" wird 70: Als das Parken noch zehn Pfennig kostete | ntv";04.01.2024;61;62;0;0;0;8333;3;0;;16539;169
OiUcdvkf4Sw;Transgender im Sport - die Suche nach einer Lösung | ntv;04.01.2024;614;76;0;0;0;50;10;0;;16070;207
crbEI8aMEhU;Dabei hat er im Prozess ausführlich beteuert, dass er sich gebessert habe | #ntv #shorts;04.01.2024;60;580;0;0;0;9286;5;7754;;12189;198
uYhTT3OXDLE;Vizekanzler zur Umkehr gezwungen - Tumult an Habecks Fähre: Videos zeigen Bauern-Ansturm | ntv;05.01.2024;117;54396;542;0;0;8573;282;0;;3527376;274
C_ugY-dXuAY;"Abschied mit brechender Stimme - Merz: Ohne Schäuble ""stünde ich heute nicht hier"" | ntv";05.01.2024;493;51638;419;0;0;7721;338;0;;1540534;487
cILB6VUrl-I;"""Die AfD besteht aus lichtscheuen Gesellen"" - Augstein und Blome zu Parteiverbot | ntv #Gegenverkehr";05.01.2024;215;11700;175;0;0;1252;3087;0;;1449709;24
tl-MBWTxmm4;Unterstützer und Nutznießer AfD: Wie rechte Gruppen die Bauern-Proteste unterwandern | ntv;05.01.2024;133;31993;319;0;0;4261;1499;0;;1175588;622
f5f6icXAn1E;LIVE: Abschied von Wolfgang Schäuble;05.01.2024;3438;29074;0;0;0;8646;80;0;;714371;724
