video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;aufrufe;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Klickrate der Impressionen (%);Thema;Bewertung_Titel;Gestaltung_Thumbnail
IVveLmZbFy8;LIVE: Bundespressekonferenz Gesundheitspolitische Bilanz Versorgung in Gefahr;11.04.2024 12:21;1070;1392;152;14,24;1;0;548;9;0;5;0;;;;;;;;491,0;;;;509,0;;;81;0;0;0;0;0;18433;2,07;Live;7;
NF9Ns4htVg8;LIVE: Pressekonferenz DFB mit Leroy Sané;02.07.2024 13:46;1262;1627;189;14,99;0;0;516;5;0;1;0;;;;;;380,0;;;;;;620,0;;;48;0;0;0;0;0;19650;2,09;Live;7;
8qj5tfcrtt8;LIVE: Vorstellung Frühjahrsgutachten 2024 der Wirtschaftsweisen;15.05.2024 14:52;1118;1297;171;15,37;2;0;453;4;2;0;0;;;;;;;;;;1000,0;;;;;82;0;0;0;2;0;15607;2,11;Live;9;
aB-a2XHSg3A;LIVE: Pressekonferenz mit dem neuen Kapitän der Nationalmannschaft Joshua Kimmich;03.09.2024 13:38;1291;3137;225;0,0;4;1;833;8;3;7;0;;;;;;173,0;;149,0;;274,0;;405,0;;;98;0;0;0;3;0;30055;1,97;Live;7;
ZhIy0LVocco;Mit der Bahn zu EM-Spielen - so wird's unschlagbar günstig | ntv;31.05.2024 07:58;883;547;156;17,73;1;1;210;4;2;1;2;;;;;;;;;;;;;;;21;0;0;0;2;0;10566;1,3;Sonstiges;8;
odT92ZbThiU;LIVE: : Pressekonferenz NATO-Generalsekretär Stoltenberg zum Jahresbericht 2023;14.03.2024 12:28;1516;5106;272;17,96;0;3;1125;23;7;4;0;;;;;;303,0;;;;275,0;106,0;317,0;;;143;0;0;0;7;0;26674;3,25;Live;7;
5JMv8KBHP5k;LIVE: Bundesvorsitzender Omid Nouripour (Bündnis 90/Die Grünen) zur Gremiensitzung;22.04.2024 14:20;684;808;128;18,77;0;0;378;3;16;0;0;;;;;;;;;;517,0;;483,0;;;18;0;0;0;16;0;14557;2,07;Live;7;
FPcfUKH-Xq4;Innsbruck - Abenteuer und Entspannung in jeder Höhenlage | ntv Service;10.09.2024 19:00;1066;1887;206;19,35;0;0;549;6;2;5;5;;;;;;;141,0;346,0;;;;513,0;;;97;0;0;0;2;0;26907;1,17;Sonstiges;8;
4yIxsPn1sVw;LIVE: Begrüßung mit militärischen Ehren durch Präsident Erdogan;24.04.2024 12:44;470;605;96;20,45;0;0;378;5;7;3;0;;;;;;;;;;;;1000,0;;;16;0;0;0;7;0;13339;2,26;Live;8;
yS3-9d7ELnY;LIVE: Statement des FDP-Fraktionsvorsitzenden Christian Dürr;14.05.2024 13:17;793;1070;163;20,61;0;0;393;2;2;1;0;;;;;;;;;;464,0;;536,0;;;29;0;0;0;2;0;14076;2,14;Live;8;
BfDdGaH9nYE;LIVE: Pressekonferenz Karl Lauterbach zur Krankenhausreform;15.05.2024 12:47;848;1561;180;21,29;2;0;519;8;12;6;0;;;;447,0;;;;;;;277,0;277,0;;;89;0;0;0;12;0;16063;2,12;Live;8;
cnogdiRyYcY;Das kosten die beliebtesten Reiseziele aktuell | ntv Preisbarometer;17.05.2024 07:45;963;1885;207;21,59;1;0;544;5;0;3;0;;;;;;1000,0;;;;;;;;;42;0;0;0;0;0;12788;2,61;Nachrichten;7;
5hHGP7qYNdM;LIVE: Statement Mützenich zur Fraktionssitzung;19.03.2024 14:50;1019;1985;223;21,89;0;1;534;7;6;9;0;;;;;;;;;;333,0;;667,0;;;60;0;0;0;6;0;15472;2,42;Live;7;
bcdPPMSoRsM;Gadgets und Tricks für das perfekte Urlaubsfoto | ntv;27.06.2024 09:45;346;260;76;22,11;0;0;204;4;1;2;1;;;;;;;;;;;;;;;19;0;0;0;1;0;13419;1,04;Sonstiges;7;
KBK78KQwDmI;"""Raumfahrt ist so etwas wie die Champions League in der Technologie"" | ntv";19.04.2024 17:35;226;668;52;23,25;0;2;763;8;2;9;4;;;;;;154,0;;;;277,0;51,0;518,0;;;114;0;0;0;2;0;15939;1,46;Sonstiges;6;
2U0qHHOX-1A;"Chancen für Olympia-Bewerbung ""sind eher überschaubar"" -  Philipp Hartewig (FDP) im Frühstart | ntv";29.07.2024 10:13;401;619;99;24,86;0;1;373;11;5;4;6;;;;;;407,0;;;;;204,0;389,0;;;33;0;0;0;5;0;14547;1,18;Sonstiges;6;
OiUcdvkf4Sw;Transgender im Sport - die Suche nach einer Lösung | ntv;04.01.2024 11:04;614;1118;152;0,0;0;1;439;11;10;3;8;;;;519,0;;;;;;481,0;;;;;76;0;0;0;10;0;16070;2,07;Sonstiges;8;
HE2oMf-G6e0;"""Klima Update"" zu Algen: Kleine grüne Wunder als Klimaschutz-Allrounder  | ntv";24.09.2024 13:16;623;1463;155;0,0;0;0;566;15;4;4;9;;;;;;257,0;;;;372,0;;372,0;;;23;0;0;0;4;0;25669;1,53;Sonstiges;7;
