video_id;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-
39gz_lBLCkA;0,80;5,80;2,80;18,80;3,20;22,90;2,60;16,90;2,80;13,50;1,90;7,80
MtNPpcQQtuY;1,40;6,00;3,80;13,60;4,50;17,20;4,40;12,20;6,60;12,50;6,10;11,50
c9rwwTXf6j8;2,70;3,40;7,20;6,90;11,10;7,90;13,30;7,30;17,80;6,90;10,90;4,60
sw4Pg-9QzyE;nan;nan;nan;3,60;1,60;7,20;3,50;7,40;10,80;18,10;16,30;31,60
BAzlKhXkKoc;0,30;1,30;0,70;6,60;1,10;10,50;1,60;12,90;5,20;23,20;11,00;25,70
1kXX4H-yXHQ;0,50;2,60;1,00;4,20;1,70;5,60;2,80;7,60;10,10;20,30;15,90;27,60
l6PCBE4L6W0;nan;nan;nan;3,60;nan;7,90;2,60;9,30;9,20;17,50;17,70;32,20
PNOpialOIL0;nan;0,70;0,50;3,00;1,10;7,80;2,30;10,30;7,00;20,60;14,90;31,80
4og6Rz1VoME;0,30;1,00;2,00;4,30;4,90;9,50;6,30;11,20;10,50;16,80;13,30;19,90
4og6Rz1VoME;0,30;1,00;2,00;4,30;4,90;9,50;6,30;11,20;10,50;16,80;13,30;19,90
4og6Rz1VoME;0,30;1,00;2,00;4,30;4,90;9,50;6,30;11,20;10,50;16,80;13,30;19,90
4og6Rz1VoME;0,30;1,00;2,00;4,30;4,90;9,50;6,30;11,20;10,50;16,80;13,30;19,90
lVG6eRg0q5c;0,30;0,90;1,50;3,00;4,40;6,10;6,30;7,70;12,90;14,60;20,20;22,00
v1zxksbljTw;nan;0,60;0,60;3,20;1,20;5,80;2,00;8,40;5,80;18,40;17,30;36,70
E93hM8B3Egs;0,90;2,30;1,70;6,40;3,00;11,50;3,80;12,30;6,90;17,00;10,50;23,70
8nRonzGRXdM;0,10;0,70;0,50;2,60;1,50;6,00;2,10;8,50;6,60;19,10;18,00;34,50
jB1HXCXMGlI;0,10;1,00;1,00;5,20;1,80;9,10;2,30;9,40;6,20;17,80;14,60;31,40
DO1CcmWIF5s;nan;nan;nan;3,20;nan;7,10;2,50;8,50;9,10;18,60;18,30;32,70
AI648hqOIFI;nan;nan;nan;nan;nan;12,30;nan;12,80;6,70;24,10;15,40;28,70
kDA14tV5KyE;0,10;0,80;0,40;2,20;1,20;5,00;2,50;8,70;7,00;20,60;14,90;36,30
InidHSyJ7XI;0,20;1,40;0,40;6,20;2,00;10,10;2,80;11,70;8,30;18,80;14,30;23,70
cQGFFzeQp4U;0,30;1,70;1,00;7,90;2,10;11,30;3,10;9,80;8,30;17,10;15,40;22,10
QYSFEFJXreY;0,10;1,50;0,90;4,70;2,30;8,20;3,70;9,80;8,20;17,20;15,60;27,70
oKq9HjzU9FQ;nan;nan;nan;4,70;0,70;10,30;4,40;12,30;11,50;17,50;12,90;25,80
Rkxy9HayIXk;nan;nan;nan;nan;nan;6,90;2,30;10,90;11,10;18,30;17,60;32,80
tJYp4GM4r6o;0,30;1,80;1,30;4,90;3,70;7,90;5,20;9,10;11,40;15,00;18,80;20,40
kb8o6aD7iUo;nan;nan;nan;5,30;1,90;10,40;5,00;10,90;10,00;16,30;16,20;24,00
esZLMNcQdvA;nan;nan;nan;10,40;nan;16,70;nan;11,70;7,30;17,50;13,10;23,30
MfgMElpdo2g;0,30;1,70;1,00;4,20;2,30;10,50;4,00;11,00;9,20;19,90;12,70;23,20
YLeDqGnCHc8;nan;nan;nan;3,30;nan;5,80;2,40;8,20;7,70;17,30;18,40;36,90
WrtzFVv8IC4;nan;0,80;0,40;2,90;1,20;7,40;3,10;9,40;8,10;16,80;21,90;28,00
v84j65SGKpQ;0,30;0,40;1,00;3,70;2,80;7,90;3,90;8,70;9,60;15,90;20,10;25,60
NRovT13AgEw;nan;2,70;nan;4,90;0,90;6,70;2,20;8,50;7,10;17,10;17,80;32,00
5D1cWdr8S_k;0,10;1,20;0,30;2,80;0,90;5,70;2,00;8,80;5,20;20,20;13,60;39,20
wN9NpbHKNe0;nan;0,80;0,50;2,90;1,20;6,10;2,70;7,60;8,50;18,90;18,80;32,00
AzpWn1Psa90;nan;2,90;nan;3,10;1,20;6,00;4,30;8,50;10,40;11,00;31,90;20,70
Z_FF6aGp-kA;0,10;0,60;0,70;3,00;1,70;8,10;2,70;10,30;7,00;18,30;15,00;32,50
Q0yCjpsPV5M;nan;3,40;0,60;6,80;3,40;13,50;3,70;11,80;10,00;15,30;13,70;17,90
G2FpCLWcQIY;0,30;2,40;0,80;6,30;1,40;8,00;2,80;9,90;6,10;17,20;15,40;29,20
Bx3b8R6wnpU;0,30;1,10;1,50;5,30;4,20;9,80;4,40;11,80;8,20;18,00;12,50;22,90
JUPXnhZx9PU;0,70;4,00;1,90;12,40;2,60;13,50;3,00;11,20;6,80;15,20;10,00;18,60
cp9V8WpsLn4;0,40;0,70;1,90;3,00;5,10;6,50;6,30;8,50;12,70;16,80;15,60;22,50
PqeYmZFGjTg;nan;1,20;nan;8,90;nan;17,60;nan;18,00;nan;25,40;1,80;27,10
SEW75W9Hh74;nan;nan;nan;nan;2,40;5,60;nan;8,20;8,20;16,60;19,60;39,40
nK7QDSqOlyI;0,90;5,60;1,50;7,10;1,70;7,80;2,40;8,70;5,00;16,60;11,70;31,00
fwNR2WbZx84;0,70;2,70;1,00;6,50;1,80;10,60;2,70;12,10;5,80;16,00;12,90;27,30
O59gZ4hEtPg;nan;nan;nan;4,00;nan;6,50;nan;5,20;6,50;18,70;19,30;39,70
1yYAos7AeYM;nan;nan;nan;2,20;nan;7,10;3,10;10,00;9,80;16,50;16,30;35,10
eM-Ke7piuJs;nan;0,40;0,50;2,40;0,90;6,00;2,50;8,20;8,00;19,20;17,10;34,70
vi4kc7qOEtg;nan;0,60;1,10;5,00;2,40;11,70;1,60;12,40;4,80;20,50;9,20;30,90
vkBV0Rg-fWw;0,20;2,80;0,80;6,60;2,10;8,80;2,70;9,90;6,20;17,20;14,60;28,20
mg9OCdo7aQs;0,70;6,60;2,10;17,00;2,30;16,20;2,90;12,60;4,10;14,20;6,10;15,00
9xWhpJy09_Y;nan;nan;0,60;6,50;0,90;11,20;4,90;11,30;8,70;18,30;14,80;22,80
KbWrCF25_N8;nan;3,30;nan;4,30;1,20;11,00;3,30;11,50;7,10;19,60;13,30;25,40
mD4uYZuKPO4;1,60;6,00;2,80;11,90;6,40;16,60;5,70;14,30;6,90;12,90;5,70;9,40
rIBLlATuhqw;nan;2,30;0,60;6,60;1,70;8,10;3,30;9,40;7,10;18,90;14,00;28,10
YY-x9EtkLyI;0,30;1,70;0,90;6,40;2,20;11,10;3,70;12,80;8,30;18,10;13,60;20,80
q1tz8xpQuFw;nan;3,60;1,90;14,70;1,30;16,80;2,80;14,30;4,40;18,00;6,00;16,10
yfu45P6ESoc;0,20;1,30;0,60;4,70;1,60;11,00;2,10;12,50;5,70;19,60;12,00;28,60
2K5AHdVs3uQ;nan;nan;nan;nan;nan;11,30;nan;19,20;nan;14,20;17,50;37,90
bI26PAW9IJQ;nan;0,60;nan;1,90;1,10;6,00;2,40;8,40;7,20;18,90;18,90;34,70
9LX25PraHeU;nan;nan;nan;5,40;nan;7,70;2,50;7,20;5,40;18,00;17,30;36,40
0LKNGtSFl20;nan;1,80;0,50;6,40;2,30;10,70;3,50;11,20;9,80;16,10;16,00;21,80
YCmd109OkeY;0,40;1,90;1,10;6,40;3,40;11,90;4,20;10,20;7,70;16,20;13,90;22,70
MRwYuyetbEw;nan;nan;nan;8,40;nan;8,40;nan;14,80;6,10;17,90;15,60;28,80
PvycSaPMcZI;nan;nan;0,90;3,20;1,30;8,50;2,90;11,40;8,90;19,80;15,20;27,70
