video_id;audience_female_age13-17;audience_male_age13-17;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_male_ageage13-17;audience_female_ageage18-24;audience_male_ageage18-24;audience_female_ageage25-34;audience_male_ageage25-34;audience_genderUserSpecified_ageage25-34;audience_female_ageage35-44;audience_male_ageage35-44;audience_genderUserSpecified_ageage35-44;audience_female_ageage45-54;audience_male_ageage45-54;audience_genderUserSpecified_ageage45-54;audience_female_ageage55-64;audience_male_ageage55-64;audience_female_ageage65-;audience_male_ageage65-;audience_female_ageage13-17;audience_genderUserSpecified_ageage65-;audience_genderUserSpecified_ageage55-64;audience_genderUserSpecified_ageage18-24
39gz_lBLCkA;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,80;5,80;2,80;18,80;0,00;3,20;22,90;0,00;2,60;16,90;0,00;2,80;13,50;1,90;7,80;nan;nan;nan;nan
MtNPpcQQtuY;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;1,40;6,00;3,80;13,60;nan;4,50;17,20;nan;4,40;12,20;nan;6,60;12,50;6,10;11,50;0,00;0,00;nan;nan
c9rwwTXf6j8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;2,70;3,40;7,20;6,90;nan;11,10;7,90;nan;13,30;7,30;nan;17,80;6,90;10,90;4,60;nan;nan;nan;nan
sw4Pg-9QzyE;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;nan;3,60;nan;1,60;7,20;nan;3,50;7,40;nan;10,80;18,10;16,30;31,60;nan;nan;nan;nan
BAzlKhXkKoc;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,30;1,30;0,70;6,60;nan;1,10;10,50;nan;1,60;12,90;nan;5,20;23,20;11,00;25,70;nan;nan;nan;nan
1kXX4H-yXHQ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,50;2,60;1,00;4,20;nan;1,70;5,60;nan;2,80;7,60;nan;10,10;20,30;15,90;27,60;nan;nan;nan;nan
l6PCBE4L6W0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;nan;3,60;nan;nan;7,90;nan;2,60;9,30;nan;9,20;17,50;17,70;32,20;nan;nan;nan;nan
PNOpialOIL0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;0,70;0,50;3,00;nan;1,10;7,80;nan;2,30;10,30;nan;7,00;20,60;14,90;31,80;nan;nan;nan;nan
4og6Rz1VoME;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,30;1,00;2,00;4,30;nan;4,90;9,50;nan;6,30;11,20;nan;10,50;16,80;13,30;19,90;nan;nan;0,00;nan
4og6Rz1VoME;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,30;1,00;2,00;4,30;nan;4,90;9,50;nan;6,30;11,20;nan;10,50;16,80;13,30;19,90;nan;nan;0,00;nan
4og6Rz1VoME;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,30;1,00;2,00;4,30;nan;4,90;9,50;nan;6,30;11,20;nan;10,50;16,80;13,30;19,90;nan;nan;0,00;nan
4og6Rz1VoME;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,30;1,00;2,00;4,30;nan;4,90;9,50;nan;6,30;11,20;nan;10,50;16,80;13,30;19,90;nan;nan;0,00;nan
lVG6eRg0q5c;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,30;0,90;1,50;3,00;nan;4,40;6,10;nan;6,30;7,70;nan;12,90;14,60;20,20;22,00;nan;0,10;0,00;nan
v1zxksbljTw;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;0,60;0,60;3,20;nan;1,20;5,80;nan;2,00;8,40;nan;5,80;18,40;17,30;36,70;nan;nan;nan;nan
E93hM8B3Egs;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,90;2,30;1,70;6,40;nan;3,00;11,50;nan;3,80;12,30;nan;6,90;17,00;10,50;23,70;nan;nan;nan;nan
8nRonzGRXdM;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,10;0,70;0,50;2,60;nan;1,50;6,00;nan;2,10;8,50;nan;6,60;19,10;18,00;34,50;nan;nan;nan;nan
jB1HXCXMGlI;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,10;1,00;1,00;5,20;nan;1,80;9,10;nan;2,30;9,40;nan;6,20;17,80;14,60;31,40;nan;nan;nan;nan
DO1CcmWIF5s;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;nan;3,20;nan;nan;7,10;nan;2,50;8,50;nan;9,10;18,60;18,30;32,70;nan;nan;nan;nan
