video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;aufrufe;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Klickrate der Impressionen (%);Thema;Bewertung_Titel;Gestaltung_Thumbnail
39gz_lBLCkA;LIVE: Eskalation im Nahen Osten: Iran feuert Raketen auf Israel;01.10.2024 20:37;5995;718916;413,0;6,9;262,0;4;104310;581;166;351;0,0;0,8;5,8;2,8;18,8;3,2;22,9;2,6;16,9;2,8;13,5;1,9;7,8;;1,0;22703,0;0;0;0;166;0;935218,0;8,04;Live;8,5;2
MtNPpcQQtuY;LIVE: Eskalation im Ampelstreit;06.11.2024 23:01;6018;516739;451,0;7,5;119,0;5;68658;469;267;697;0,0;1,4;6,0;3,8;13,6;4,5;17,2;4,4;12,2;6,6;12,5;6,1;11,5;0,0;1,0;21845,0;0;0;0;267;0;339428,0;9,08;Live;6,5;2
c9rwwTXf6j8;LIVE: Trauerfeier für getöteten Polizisten Mannheim;14.06.2024 12:46;5920;320526;581,0;9,6;63,0;3;33049;657;36;518;0,0;2,7;3,4;7,2;6,9;11,1;7,9;13,3;7,3;17,8;6,9;10,9;4,6;;;10526,0;0;0;0;36;0;299994,0;7,44;Live;8,5;2
sw4Pg-9QzyE;LIVE: Vorstellung zur Studie über Hass im Netz;13.02.2024 10:27;1497;4540;150,0;10,03;0,0;7;1815;28;84;28;0,0;;;;3,6;1,6;7,2;3,5;7,4;10,8;18,1;16,3;31,6;;;119,0;0;0;0;84;0;44515,0;1,07;Live;6,5;2
l6PCBE4L6W0;LIVE: Regierungserklärung Bundeskanzler Olaf Scholz zum EU-Gipfel;20.03.2024 14:21;4271;24808;441,0;10,33;2,0;4;3374;70;49;21;0,0;;;;3,6;;7,9;2,6;9,3;9,2;17,5;17,7;32,2;;;279,0;0;0;0;49;0;58617,0;2,86;Live;8,5;3
PNOpialOIL0;LIVE: Statement von Robert Habeck zur Modernisierungsagenda;23.10.2024 12:42;1575;23315;162,0;10,33;7,0;2;8597;30;66;25;0,0;;0,7;0,5;3,0;1,1;7,8;2,3;10,3;7,0;20,6;14,9;31,8;;;1231,0;0;0;0;66;0;54098,0;4,37;Live;6,5;3
4og6Rz1VoME;LIVE: Pressekonferenz des Flughafens München zum Ansturm auf Terminals;04.10.2024 16:53;927;91694;97,0;10,56;14,0;6;56204;132;34;190;0,0;0,3;1,0;2,0;4,3;4,9;9,5;6,3;11,2;10,5;16,8;13,3;19,9;;;20702,0;0;0;0;34;0;140630,0;5,82;Live;7,5;2
E93hM8B3Egs;LIVE: Pressekonferenz mit Bundekanzler Scholz und NATO-Chef Rutte;04.11.2024 16:15;891;20751;96,0;10,82;6,0;0;12921;28;63;10;0,0;0,9;2,3;1,7;6,4;3,0;11,5;3,8;12,3;6,9;17,0;10,5;23,7;;;3178,0;0;0;0;63;0;174527,0;1,73;Live;8,5;3
8nRonzGRXdM;LIVE: Statement von Pistorius nach seinem Besuch der OCCAR-Zentrale in Bonn;15.11.2024 14:24;846;30045;92,0;10,99;5,0;1;19386;78;20;38;0,0;0,1;0,7;0,5;2,6;1,5;6,0;2,1;8,5;6,6;19,1;18,0;34,5;;;2105,0;0;0;0;20;0;63775,0;5,66;Live;6,5;3
jB1HXCXMGlI;LIVE: Pressekonferenz von Bundeskanzler Scholz und Indiens Regierungschef Modi;25.10.2024 10:57;1078;24454;118,0;11,02;12,0;2;12351;117;50;51;0,0;0,1;1,0;1,0;5,2;1,8;9,1;2,3;9,4;6,2;17,8;14,6;31,4;;;1970,0;0;0;0;50;0;59219,0;5,0;Live;8,5;3
DO1CcmWIF5s;LIVE: Pressekonferenz mit Scholz, Rhein und Weil nach Ministerpräsidentenkonferenz;06.03.2024 16:15;1756;7972;196,0;11,18;0,0;0;2437;30;22;4;0,0;;;;3,2;;7,1;2,5;8,5;9,1;18,6;18,3;32,7;;;113,0;0;0;0;22;0;31304,0;2,78;Live;8,5;1
AI648hqOIFI;LIVE: Aktuelle Stunde im Bundestag;11.04.2024 15:11;1532;2573;172,0;11,29;2,0;0;893;8;5;3;0,0;;;;;;12,3;;12,8;6,7;24,1;15,4;28,7;;;155,0;0;0;0;5;0;20816,0;2,91;Live;6,5;1
InidHSyJ7XI;LIVE: Regierungserklärung von Bundeskanzler Olaf Scholz;16.10.2024 14:24;4832;133283;480,0;11,7;22,0;1;16638;79;102;46;0,0;0,2;1,4;0,4;6,2;2,0;10,1;2,8;11,7;8,3;18,8;14,3;23,7;;;1756,0;0;0;0;102;0;180130,0;4,94;Live;8,5;3
cQGFFzeQp4U;LIVE: Streit um Wirtschaftshilfen - Scholz ruft zur Geschlossenheit auf;25.10.2024 15:05;863;38350;101,0;11,72;8,0;0;22752;44;171;21;0,0;0,3;1,7;1,0;7,9;2,1;11,3;3,1;9,8;8,3;17,1;15,4;22,1;;;3211,0;0;0;0;171;0;360082,0;1,9;Live;7,5;3
QYSFEFJXreY;LIVE: CDU und SPD wollen in Sachsen Minderheitsregierung bilden;15.11.2024 11:16;739;26099;86,0;11,77;3,0;1;18011;53;161;45;0,0;0,1;1,5;0,9;4,7;2,3;8,2;3,7;9,8;8,2;17,2;15,6;27,7;;;1984,0;0;0;0;161;0;233928,0;1,45;Live;7,5;3
oKq9HjzU9FQ;LIVE: Pressekonferenz mit Bundeskanzler Scholz und Microsoft-Präsident Smith;15.02.2024 11:55;1387;12925;164,0;11,84;8,0;1;4722;49;98;180;0,0;;;;4,7;0,7;10,3;4,4;12,3;11,5;17,5;12,9;25,8;;;1340,0;0;0;0;98;0;42428,0;2,68;Live;7,5;2
