PLZ,Ort,Grundversorger,GV_Tarif_Stichtag_alt,GV_AP_Stichtag_alt,GV_GP_Stichtag_alt,GV_Gesamtpreis_Stichtag_alt,GV_Tarif_Stichtag_neu,GV_AP_Stichtag_neu,GV_GP_Stichtag_neu,GV_Gesamtpreis_Stichtag_neu,Differenz_GV_Gesamtpreis,Sondertarif_Stichtag_alt,Sondertarif_Stichtag_alt_AP,Sondertarif_Stichtag_alt_GP,Sondertarif_Stichtag_alt_Gesamtpreis,Sondertarif_Stichtag_neu,Sondertarif_Stichtag_neu_AP,Sondertarif_neu_GP,Sondertarif_Stichtag_neu_Gesamtpreis,Differenz_Sondertarif_Stichtag_alt_Stichtag_neu
1067,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1069,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1097,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1099,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1108,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,SimplyFair Tarif,"22,86639","103,2269","903,55055",SimplyFair Tarif,"22,86639","103,2269","903,55055",0
1108,Dresden,SachsenEnergie AG,ENSO.Strom.Privat,"33,57","83,77","1258,72",ENSO.Strom.Privat,"33,57","83,77","1258,72",0,SimplyFair Tarif,"22,86639","103,2269","903,55055",SimplyFair Tarif,"22,86639","103,2269","903,55055",0
1109,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1127,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1129,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1139,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1156,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,SimplyFair Tarif,"22,86639","103,2269","903,55055",SimplyFair Tarif,"22,86639","103,2269","903,55055",0
1157,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1159,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1169,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1187,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,MAX Basic Strom 12,"21,914","134,67","901,66",KlickStrom24 plus,"22,007","129,09","899,335","-2,325"
1187,Dresden,Freitaler Stadtwerke GmbH,Grundversorgung,"34,46","116,51","1322,61",Grundversorgung,"34,46","116,51","1322,61",0,MAX Basic Strom 12,"21,914","134,67","901,66",KlickStrom24 plus,"22,007","129,09","899,335","-2,325"
1189,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1217,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1219,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1237,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1239,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1257,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1259,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1277,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1279,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1307,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1309,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1324,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1326,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,NEWfair Strom 3 ,"23,4","82,73","901,73",SimplyFair Tarif,"22,86639","103,2269","903,55055","1,82055"
1328,Dresden,DREWAG - Stadtwerke Dresden GmbH,Grundversorgung Haushalt,"32,56","92,92","1232,52",Grundversorgung Haushalt,"32,56","92,92","1232,52",0,SimplyFair Tarif,"22,86639","103,2269","903,55055",SimplyFair Tarif,"22,86639","103,2269","903,55055",0
1328,Dresden,SachsenEnergie AG,ENSO.Strom.Privat,"33,57","83,77","1258,72",ENSO.Strom.Privat,"33,57","83,77","1258,72",0,SimplyFair Tarif,"22,86639","103,2269","903,55055",SimplyFair Tarif,"22,86639","103,2269","903,55055",0
1445,Radebeul,Stadtwerke Elbtal GmbH,Grundversorgung,"36,37","87,97","1360,92",Grundversorgung,"36,37","87,97","1360,92",0,NEWfair Strom 3 ,"19,94","85,62","783,52",SimplyFair Tarif,"19,40639","106,1176","785,34125","1,82125"
1454,Radeberg,ENGIE Deutschland GmbH,ENGIE basis,"33,19328","60,5042","1222,269",ENGIE basis,"33,19328","60,5042","1222,269",0,NEWfair Strom 3 ,"22,95","83,72","886,97",SimplyFair Tarif,"22,41639","104,2185","888,79215","1,82215"
