Videos;Videotitel;Veröffentlichungszeitpunkt des Videos;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Geteilte Inhalte;Kommentare hinzugefügt;„Mag ich“ und „Mag ich nicht“ im Vergleich (%);„Mag ich nicht“-Bewertungen;Likes;Verlorene Abonnenten;Gewonnene Abonnenten;Durchschnittliche Wiedergabedauer in Prozent (%);Im Feed angezeigt;Aufrufe;Wiedergabezeit (Stunden);Geschätzter Umsatz (EUR);Durchschnittliche Wiedergabedauer;Impressionen;Klickrate der Impressionen (%);Länge des Videos (sek);Thema;Bewertung Titel;Gestaltung Thumbnail
d9hkkoS0vX4;"""Nähern uns Kulminationspunkt"" - Reisner: Aktuelle russische Angriffe haben drei Absichten | ntv";01.01.2024;8830;0;0;5550;7480;8502;6760;38370;70;2740;5141;0;2716290;131878399;176;00:02:54;48536650;378;;;;
HqWCoADUK7k;Angriff im Wahlkampf in Südkorea: Attentäter sticht Politiker vor laufender Kamera in Hals | ntv;02.01.2024;10;0;0;0;0;1000;0;10;0;0;5921;0;350;4605;32;00:00:47;1520;1974;;;;
RYohTnnTqVY;"""Oh Gott!"" - Tetris durchgespielt? - 13-Jähriger bringt Kultgame zum Absturz - bei Level 157 | ntv";03.01.2024;1370;0;0;770;20;8889;40;320;0;20;6291;0;91390;122974;14523;00:00:48;267520;2144;;;;
b352sN63G5k;Hechtsprung aus heiterem Himmel - Angeklagter greift Richterin an | ntv;04.01.2024;30;0;0;60;0;1000;0;10;0;0;5683;0;1920;44251;392;00:01:22;8790;1627;;;;
qmCAZUiwwdA;Angriff auf Arzt und Pfleger: Video hält Angriff in Berliner Krankenhaus fest | ntv;04.01.2024;10;0;0;140;0;1000;0;20;0;0;6685;0;1590;22438;24;00:00:50;6850;1139;;;;
tl-MBWTxmm4;Unterstützer und Nutznießer AfD: Wie rechte Gruppen die Bauern-Proteste unterwandern | ntv;05.01.2024;3200;0;0;4850;17930;4246;14960;11040;160;1020;5988;0;1024190;22656743;24;00:01:19;11958140;615;;;;
cILB6VUrl-I;"""Die AfD besteht aus lichtscheuen Gesellen"" - Augstein und Blome zu Parteiverbot | ntv #Gegenverkehr";05.01.2024;170;0;0;80;10;4000;-60;80;0;40;5633;0;7320;24627;1567;00:02:01;60160;733;;;;
C_ugY-dXuAY;"Abschied mit brechender Stimme - Merz: Ohne Schäuble ""stünde ich heute nicht hier"" | ntv";05.01.2024;10;0;0;10;10;1000;0;20;0;0;3576;0;4120;201741;1238;00:02:56;38120;816;;;;
uYhTT3OXDLE;Vizekanzler zur Umkehr gezwungen - Tumult an Habecks Fähre: Videos zeigen Bauern-Ansturm | ntv;05.01.2024;5420;0;0;6080;14540;8577;2780;16760;30;840;5841;0;1311470;24896978;32;00:01:08;35354610;274;;;;
QV68QwTRsss;"""Protest für Umsturzpläne nutzen"" - Von Lucke zur Unterwanderung der Bauern durch Rechte | ntv";08.01.2024;2340;0;0;1910;11480;3141;14610;6690;80;680;5495;0;549410;25913515;5;00:02:49;12912690;32;;;;
Gg32aueLbRs;Unwahrscheinlich, dass die Regierung nachgibt - ntv-Reporterin Kuhnert zu Bauernprotest | ntv;08.01.2024;3340;0;0;1780;7620;3747;7810;4680;40;600;6658;0;625740;1030046;15;00:00:59;19019560;255;;;;
2R247-9utK4;Streit um Subventionen: Wie es den Landwirten in Deutschland finanziell geht | ntv;08.01.2024;1960;0;0;690;1390;7632;850;2740;10;240;5597;0;195710;2738449;2;00:00:50;7905700;184;;;;
6LNz12Q0or0;Zu Fuß nach Gaza - Israelis zeigen ntv-Reporterin riesigen Hamas-Terror-Tunnel | ntv;09.01.2024;2300;0;0;670;0;6554;1330;2530;30;290;6152;0;174690;471703;93;00:01:37;4353610;299;;;;
