video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;aufrufe;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Klickrate der Impressionen (%);Thema;Bewertung_Titel;Gestaltung_Thumbnail
Bx3b8R6wnpU;LIVE: Pressekonferenz zur Festnahme von RAF-Terroristin Klette;27.02.2024 15:10;2078;53174;273,0;13,15;8,0;1;11674;41;9;35;0,0;0,3;1,1;1,5;5,3;4,2;9,8;4,4;11,8;8,2;18,0;12,5;22,9;;;2231,0;0;0;0;9;0;70776,0;4,14;Live;8,0;2
SEW75W9Hh74;LIVE: Gemeinschaftsdiagnose der Wirtschaftsforschungsinstitute;27.03.2024 10:23;1243;3129;165,0;13,34;0,0;0;1132;19;10;7;0,0;;;;;2,4;5,6;;8,2;8,2;16,6;19,6;39,4;;;54,0;0;0;0;10;0;19921,0;2,13;Live;9,0;2
Ik474Olthzs;LIVE: Abschluss-Pressekonferenz der Innenministerkonferenz;21.06.2024 12:55;1186;7189;182,0;15,41;1,0;5;2360;26;39;18;0,0;;;;3,4;2,4;8,2;3,0;7,1;8,1;19,8;19,8;28,2;;;86,0;0;0;0;39;0;40167,0;2,49;Live;8,0;3
9JHmDWh-IKI;LIVE: FDP-Generalsekretär Djir-Sarai und Spitzenkandidat Zyon Braun zur Landtagswahl in Brandenburg;12.08.2024 11:47;1067;7340;172,0;16,18;1,0;2;2551;30;25;6;0,0;;;;2,8;;3,9;1,0;7,1;6,7;18,6;20,8;39,2;;;31,0;0;0;0;25;0;32212,0;2,67;Live;6,0;3
xmwVtUA989I;LIVE: Statements von Scholz und dem ukrainischen Präsidenten;11.10.2024 14:55;551;63178;97,0;17,66;22,0;1;38957;210;235;104;0,0;0,0;0,7;0,6;3,0;1,8;8,2;2,8;10,0;6,8;19,6;14,6;31,9;;;5938,0;0;0;0;235;0;155646,0;5,29;Live;8,0;3
0zETzGurx64;LIVE: Pressekonferenz der Grünen-Chefin Ricarda Lang;11.11.2024 14:14;652;9775;120,0;18,52;3,0;2;4857;30;76;27;0,0;;;0,9;6,2;1,2;10,8;3,4;10,6;9,6;20,5;14,1;22,6;;;703,0;0;0;0;76;0;45667,0;6,62;Live;8,0;3
5JMv8KBHP5k;LIVE: Bundesvorsitzender Omid Nouripour (Bündnis 90/Die Grünen) zur Gremiensitzung;22.04.2024 14:20;684;808;128,0;18,77;0,0;0;378;3;16;0;0,0;;;;;;;;;;;;;;;18,0;0;0;0;16;0;14557,0;2,07;Live;7,0;3
73ccXoL2T8k;LIVE: Pressekonferenz Polizeipräsidium München zu Anschlag in München;06.09.2024 14:31;1534;21599;298,0;19,46;6,0;1;4342;86;8;30;0,0;;1,2;;6,8;4,1;10,3;4,2;11,2;7,4;19,2;13,9;21,8;;;480,0;0;0;0;8;0;61594,0;3,14;Live;8,0;2
J-YHEoi5EXE;SPD rutscht weiter ab, Union baut einsame Führung aus | ntv Trendbarometer;03.09.2024 16:13;955;156905;212,0;22,24;42,0;3;44332;363;123;52;248,0;0,2;2,7;0,7;7,3;1,2;10,7;2,5;13,6;4,9;21,8;8,5;25,9;;;1966,0;0;0;0;123;0;462016,0;6,25;Politik;6,0;1
C0Ls4WaK6Yc;"""Monica Lierhaus trifft WeltmeisterPaul Breitner:  """"26er-Kader ist ein Unding"""" | ntv""";09.06.2024 17:12;1113;130462;250,0;22,46;23,0;2;31311;223;6;66;44,0;;0,5;0,3;3,9;0,8;9,9;1,8;16,7;4,6;32,1;6,1;23,4;;;5015,0;191;0;0;6;0;415528,0;4,62;Sonstiges;7,0;1
