Name;Beschreibung;Rolle;Typ
Videos;Das ist die youtibe-ID jeden Videos. ;ID;Nominal
Videotitel;Das ist der Titel des Videos;Prädikator;Kategorial 
Veröffentlichungszeitpunkt des Videos;Wann wurde das Video veröffentlicht;Prädikator;Numerisch
Klicks auf Abspannelement;Wie oft wurde auf ein Abspannelement geklickt;Prädikator;Numerisch
Klicks auf Infokartenteaser;Wie oft wurde auf ein Infokartenteaser geklickt;Prädiaktor;Numerisch
Klicks auf Infokarte;Wie oft wurde auf ein Infokarte geklickt;Prädikator;numerisch
Geteilte Inhalte;Wie oft wurde Geteilte Inhalte;Prädiaktor;Numerisch
Kommentare hinzugefügt;Die Anzahl der Kommentare zu deinem Video oder auf deinem Kanal. Dieser Wert kann sowohl gelöschte Kommentare als auch Livechats enthalten.;Prädiaktor;Numerisch
„Mag ich“ und „Mag ich nicht“ im Vergleich (%);"Der prozentuale Anteil der ""Mag ich""-Bewertungen an der Gesamtzahl aller Bewertungen, die dieses Video erhalten hat. Mit diesem Messwert kannst du die Arten von Inhalten ermitteln, die am besten bei deinen Zuschauern ankommen.";Prädikator;Numerisch
„Mag ich nicht“-Bewertungen;Die Änderung der Gesamtzahl negativer Bewertungen, die sich aus der Differenz zwischen hinzugefügten und entfernten Bewertungen für den ausgewählten Zeitraum, die ausgewählte Region und andere Filter ergibt. Vor dem 1. September 2012 wurden die entfernten Bewertungen nicht subtrahiert.;Prädikator;Numerisch
Likes;Die Änderung der Gesamtzahl positiver Bewertungen, die sich aus der Differenz zwischen hinzugefügten und entfernten Bewertungen für den ausgewählten Zeitraum, die ausgewählte Region und andere Filter ergibt.;Antwort;Numerisch
Verlorene Abonnenten;So oft haben Nutzer das Abo dieses Kanals während des ausgewählten Zeitraums und in der ausgewählten Region gekündigt;Prädikator;Numerisch
Gewonnene Abonnenten;So oft haben Nutzer diesen Kanal innerhalb des ausgewählten Zeitraums und in der ausgewählten Region abonniert;Prädikator;Numerisch
Durchschnittliche Wiedergabedauer in Prozent (%);Durchschnittliche Wiedergabe eines Videos pro Aufruf (in %);Prädikator;Numerisch
Im Feed angezeigt;Wie häufig Inhalte im Shorts-Feed angezeigt wurden;Prädikator;Numerisch
Aufrufe;Gesamtzahl der Aufrufe für den ausgewählten Zeitraum, die ausgewählte Region und andere Filter.;Antwort;Numerisch
Wiedergabezeit (Stunden);Die geschätzte Gesamtwiedergabezeit deiner Videos (in Stunden).;Antwort;Numerisch
Geschätzter Umsatz (EUR);Geschätzter Umsatz. Der Endbetrag kann sich am Ende des Monats ändern.;Antwort;Numerisch
Durchschnittliche Wiedergabedauer;Die geschätzte Gesamtwiedergabezeit deiner Videos (in Stunden).;Antwort;Numerisch
Impressionen;Wie oft die Thumbnails deines Videos Zuschauern gezeigt wurden. Dies beinhaltet nur Impressionen auf YouTube, nicht auf externen Websites oder Apps.;Prädikator;Numerisch
Klickrate der Impressionen (%);Aufrufe pro angezeigte Impressionen. Dieser Wert gibt an, wie oft Zuschauer sich nach der Anzeige einer Impression ein Video angesehen haben. Du kannst einfach herausfinden, wie hoch deine Klickrate bei Impressionen ist.;Antwort;Numerisch
Länge_des_Videos;Wie lang ist das Video in Sekunden;Prädikator;Numerisch
Thema;Welches Thema hat das video (Kategorien);Prädikator;Kategorial 
Bewertung_Titel;Wie oft wurde Bewertung_Titel;Prädikator;Kategorial 
Gestaltung_Thumbnail;Wie oft wurde Gestaltung_Thumbnail;Prädikator;Kategorial 
